Filer_ID,Filer_NamL,Report_Num,Committee_Type,Rpt_Date,From_Date,Thru_Date,Elect_Date,tblCover_Office_Cd,tblCover_Offic_Dscr,Rec_Type,Form_Type,Line_Item,Amount_A,Amount_B,Amount_C
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,1,8320,8320,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,2,0,0,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,3,8320,8320,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,4,0,0,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,5,8320,8320,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,6,16.42,16.42,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,7,0,0,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,8,16.42,16.42,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,9,9482.16,9482.16,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,10,0,0,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,11,9498.58,9498.58,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,12,0,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,13,8320,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,14,0,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,15,16.42,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,16,8303.58,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,17,0,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,18,0,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,F460,19,9482.16,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,A,1,8270,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,A,2,50,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,A,3,8320,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,B1,1,0,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,B1,2,0,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,B1,3,0,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,C,1,0,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,C,2,0,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,C,3,0,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,D,1,0,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,D,2,0,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,D,3,0,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,E,1,0,,
1410941,"Committee for Better Choices, No on Measures AA, Y and W",000,BMC,2018-09-27,2018-01-01,2018-09-22,2018-11-06,,,SMRY,E,2,16.42,,
